date,id,url,content,user,user_displayname,reply_count,retweet_count,like_count,sentiment_score,is_negative
2022-12-03 08:18:59+00:00,1598954939199651840,https://x.com/jtcy_obzaiya/status/1598954939199651840,ワールドカップ・スペイン戦のことを話すときに、みんな「三苫さん」と話しているように、本田圭佑の影響で「サッカー選手にはさん付けをする」という風潮が一気に浸透した気がする。,jtcy_obzaiya,JTCY,0.0,0.0,3.0,-18,True
2022-12-03 08:21:56+00:00,1598955684007411713,https://x.com/Shun19841212/status/1598955684007411713,"みとまの漢字は完全に間違えてた……

× 三苫薫
↓　↓　↓
○ 三笘薫",Shun19841212,峻(Shun)テックリード・ダーツブロガー・プロダーツプレイヤー,0.0,0.0,0.0,-4,True
2022-12-03 08:22:26+00:00,1598955807533850625,https://x.com/ShimoyamaHideya/status/1598955807533850625,"FIFA｢ボールの一部がライン上に｣三苫の折り返し #東洋経済オンライン 
@Toyokeizai
 toyokeizai.net/articles/-/637
…",ShimoyamaHideya,下山英哉(しもやまひでや),0.0,1.0,4.0,-12,True
2022-12-03 08:26:41+00:00,1598956879794696194,https://x.com/uozumihinata/status/1598956879794696194,"今回のW杯、めちゃくちゃ感情を揺さぶってくるよね。まるでジェットコースターなドラマ。
それに1993年「ドーハの悲劇」の伏線回収しちゃったよね。おまけに三苫薫と田中碧の幼なじみ同士のアツい抱擁というBL的要素まで絡んできてるし、大河ドラマみたいになってきて…

お仕事の原稿が全然進まないや",uozumihinata,魚住陽向＝東京キャスケット舎,0.0,0.0,7.0,-25,True
2022-12-03 08:33:31+00:00,1598958598092378113,https://x.com/tkyan_pwpr_mnst/status/1598958598092378113,日本スペイン戦リアタイ見れなかったから追っかけ再生で見てるんだけど、ゴール震えるのは勿論なんだけど、三苫さんのレベルと冨安さんの守備の安心感がえぐい（Keisuke Honda感）,tkyan_pwpr_mnst,たかやん,0.0,0.0,1.0,-9,True
2022-12-03 08:43:24+00:00,1598961084303429632,https://x.com/iwakashi3140/status/1598961084303429632,"三苫薫いわきfc
5年前いわきにいた""MITOMA SAN""
#いわきfc",iwakashi3140,。,0.0,0.0,8.0,-1,True
2022-12-03 08:49:10+00:00,1598962534672801792,https://x.com/toothbrushp/status/1598962534672801792,三苫選手の奥さんが大学時代からお付き合いしていた同じ体専出身の方だと知って好感度爆上がりである　真の男じゃん,toothbrushp,ハブラシ,0.0,0.0,0.0,-16,True
2022-12-03 09:02:50+00:00,1598965977139798016,https://x.com/FVeNuTRiPZ3CfhR/status/1598965977139798016,福岡市東区みとま駅三笘と三苫駅,FVeNuTRiPZ3CfhR,かわむらやすひこ,1.0,2.0,3.0,-3,True
2022-12-03 09:05:42+00:00,1598966697415041024,https://x.com/iina_awa_wa/status/1598966697415041024,"もしもW杯の漫画を描くとして
今回の三苫選手の1mmからのゴールと
同時刻のドイツvsコスタリカのゲーム展開を描いたら「嘘くさい、そんなことあるわけない」って言われそう。",iina_awa_wa,あわわ（角野レオ）,0.0,0.0,5.0,-17,True
2022-12-03 09:08:01+00:00,1598967281249554433,https://x.com/harukaz97617898/status/1598967281249554433,日本人プレーヤーの素晴らしいプレーに難癖付ける暇があったら少しでも練習して三苫さんに近づいてはいかが。まあ遠く及ばないでしょうが。性根が腐ってますからね。,harukaz97617898,はるかぜ　harukaze,0.0,1.0,2.0,-16,True
2022-12-03 09:08:26+00:00,1598967385205399552,https://x.com/LaY3nKgyFaGKq4l/status/1598967385205399552,"クロアチアに勝つために！
前田、堂安、三苫は先発で頼む。
この３人は、スペイン戦でかなり良かった！日本の決勝相手はフランスかな？
こっからは、全部見ます！スペイン戦は、負けると決めつけて寝てましたw",LaY3nKgyFaGKq4l,たんぽぽくん。,0.0,0.0,7.0,-14,True
2022-12-03 09:10:47+00:00,1598967977847967744,https://x.com/Terautyu/status/1598967977847967744,"三苫薫　命式は、非現実の世界に生きてる星←サッカーの事【のみ】真面目に考えている星
↓
朝から晩までサッカー、、趣味もサッカー、夢にまでサッカー
↓
『壬』の直感と『巳』の勝負に強い（チャンスに強い）星の、並びがすごい
↓
まさに【涓滴岩を穿つ】←努力を続ければ、困難な事を成し遂げる",Terautyu,占い師Tera,0.0,1.0,3.0,-30,True
2022-12-03 09:13:11+00:00,1598968581139861504,https://x.com/proyakyunewsX/status/1598968581139861504,"三苫薫とかいう和製ロッペンww
nanj.proyakyuantenna.com/aid/6890862/",proyakyunewsX,プロ野球ニュースX,0.0,0.0,3.0,-2,True
2022-12-03 09:25:27+00:00,1598971666117275648,https://x.com/s_hanadi/status/1598971666117275648,"サーブ&ストレート。

こんなにちゃんと入ってるのに、またアウトにされそうになった。
幸い、ボールに近い人がインだと認めてくれた。
セルフジャッジは事件が結構起こるからサンタさんにVARとかホークアイをお願いしたいっす。
VARがあっても三苫の神センタリングが欧州で物議を醸してるようだけど笑",s_hanadi,鈴木鼻血,0.0,0.0,1.0,-9,True
2022-12-03 09:35:49+00:00,1598974274785935361,https://x.com/shimi_tel/status/1598974274785935361,"「みとま」と打てば「三苫」ではななく「三笘」が頭に出てくる位、有名になったんだな。
グーグル検索の候補を見る限りまだ間違いは多そうだけど（笑）
#三笘薫",shimi_tel,シミック,0.0,0.0,5.0,-7,True
